,avg_memory_usage,avg_per_usage,kernel_cpu_usage,max_memory_usage,memory_cache,time_recorded,total_cpu_usage,user_cpu_usage
0,21790720,28064629.333333332,40000000,21790720,4096,2018-10-09T03:39:06.889652209Z,84193888,30000000
1,446431232,359525030.0,900000000,495382528,876544,2018-10-09T03:39:07.89191359Z,1078575090,150000000
2,636551168,692242925.6666666,1850000000,664383488,876544,2018-10-09T03:39:08.893930369Z,2076728777,200000000
3,664825856,1026417879.0,2850000000,664825856,876544,2018-10-09T03:39:09.896888525Z,3079253637,200000000
4,7892992,1357472405.3333333,3490000000,875327488,876544,2018-10-09T03:39:10.900715487Z,4072417216,560000000
