,avg_memory_usage,avg_per_usage,kernel_cpu_usage,max_memory_usage,memory_cache,time_recorded,total_cpu_usage,user_cpu_usage
48,8423370752,16245241190.333334,47090000000,8423370752,323584,2018-10-09T05:33:20.558435383Z,48735723571,1730000000
49,8424681472,16579647906.666666,48080000000,8424681472,323584,2018-10-09T05:33:21.561616647Z,49738943720,1730000000
50,8425992192,16913259384.0,49070000000,8425992192,323584,2018-10-09T05:33:22.564570906Z,50739778152,1740000000
51,8431628288,17247360653.333332,50080000000,8431628288,323584,2018-10-09T05:33:23.56785164Z,51742081960,1740000000
52,8432939008,17581550761.666668,51070000000,8432939008,323584,2018-10-09T05:33:24.571613332Z,52744652285,1750000000
53,8434249728,17915754996.666668,52070000000,8434249728,323584,2018-10-09T05:33:25.57588879Z,53747264990,1760000000
54,8440279040,18249675360.666668,53070000000,8440279040,323584,2018-10-09T05:33:26.578739735Z,54749026082,1760000000
55,8441458688,18583894135.333332,54070000000,8441458688,323584,2018-10-09T05:33:27.582813111Z,55751682406,1760000000
56,8442900480,18918008475.333332,55080000000,8442900480,323584,2018-10-09T05:33:28.586899312Z,56754025426,1760000000
57,8444211200,19251441861.666668,56080000000,8444211200,323584,2018-10-09T05:33:29.589636313Z,57754325585,1760000000
58,8450895872,19584226484.333332,57080000000,8450895872,323584,2018-10-09T05:33:30.593196602Z,58752679453,1760000000
59,8452161536,19920490797.0,58090000000,8452161536,323584,2018-10-09T05:33:31.597165059Z,59761472391,1760000000
60,8453341184,20253001722.666668,59080000000,8453341184,323584,2018-10-09T05:33:32.599531864Z,60759005168,1770000000
61,8454520832,20586160671.333332,60080000000,8454520832,323584,2018-10-09T05:33:33.60361463Z,61758482014,1770000000
62,8455831552,20923076938.0,61090000000,8455831552,323584,2018-10-09T05:33:34.607984856Z,62769230814,1770000000
63,8463171584,21255832926.666668,62080000000,8463171584,323584,2018-10-09T05:33:35.611151716Z,63767498780,1780000000
64,8464482304,21588594724.666668,63070000000,8464482304,323584,2018-10-09T05:33:36.613872253Z,64765784174,1790000000
65,8465793024,21924993870.666668,64070000000,8465793024,323584,2018-10-09T05:33:37.616665366Z,65774981612,1800000000
66,8467103744,22258965477.333332,65060000000,8467103744,323584,2018-10-09T05:33:38.619245139Z,66776896432,1800000000
67,8468283392,22592917514.0,66050000000,8468283392,323584,2018-10-09T05:33:39.623225234Z,67778705753,1810000000
68,8476409856,22926945937.333332,67060000000,8476409856,323584,2018-10-09T05:33:40.627306313Z,68780837812,1810000000
69,8477720576,23260444801.0,68060000000,8477720576,323584,2018-10-09T05:33:41.629475633Z,69781299446,1810000000
70,8479031296,23594473348.666668,69060000000,8479031296,323584,2018-10-09T05:33:42.63328555Z,70783420046,1810000000
71,8480210944,23929115871.333332,70070000000,8480210944,323584,2018-10-09T05:33:43.637946263Z,71787347614,1810000000
72,8481390592,24262732348.666668,71070000000,8481390592,323584,2018-10-09T05:33:44.64063646Z,72788164813,1810000000
