,avg_memory_usage,iteration,max_cpu_usage,max_memory_usage,normalized_test,test_time,time_taken
0,80724943.23809524,0,113559577,84873216,42.24134528224782,0.501449465751648,21.181900024414062
1,84796211.2,1,104104831,84819968,42.738248378525974,0.48568546772003174,20.757346153259277
2,84732928.0,2,100316682,84770816,42.381225813952746,0.48496758937835693,20.553520917892456
3,84736204.8,3,102567264,84783104,38.6047804210966,0.5416861772537231,20.911675930023193
4,84750336.0,4,104328427,84852736,43.76863584005265,0.47740256786346436,20.895259141921997
5,78020217.90476191,5,112802661,84860928,40.200969939229175,0.525831937789917,21.138953924179077
6,84781056.0,6,100192852,84840448,39.03721749864342,0.5307636260986328,20.71953511238098
7,84697088.0,7,102550259,84803584,38.63608026015698,0.5375844240188599,20.77015495300293
8,80468455.61904761,8,117525101,84811776,44.82812238123027,0.47228145599365234,21.171490907669067
9,84784128.0,9,100677362,84856832,42.213131773591115,0.4929405450820923,20.80856418609619
