,avg_memory_usage,iteration,max_cpu_usage,max_memory_usage,normalized_test,test_time,time_taken
0,324258864.7619048,0,288729111,328581120,37.40080156665463,0.5686174631118774,21.266748905181885
1,317069409.52380955,1,242404700,328499200,37.80286404561143,0.5615650415420532,21.228766918182373
2,328444928.0,2,234574053,328503296,44.524998561442686,0.4681999683380127,20.84660291671753
3,328481587.2,3,236049663,328511488,39.051962998354476,0.5407994985580444,21.119282007217407
4,318055180.1904762,4,236688533,328519680,40.765407632194034,0.5197155475616455,21.186416149139404
5,328496742.4,5,236635364,328515584,38.648841093716435,0.5438399314880371,21.01878309249878
6,321989485.71428573,6,337462785,328536064,41.13689132400586,0.5179575681686401,21.307164192199707
7,328379596.8,7,232672046,328441856,41.1843173207794,0.5058079957962036,20.8313570022583
8,313009883.4285714,8,384911476,328544256,43.63899112662495,0.48952603340148926,21.362422227859497
9,328493056.0,9,234816851,328511488,42.87296582002559,0.49542343616485596,21.240272045135498
