,avg_memory_usage,iteration,max_cpu_usage,max_memory_usage,normalized_test,test_time,time_taken
0,627576506.9206349,0,62879349298,739528704,137.39044964420796,0.4648864269256592,63.87095522880554
1,620471513.2121212,1,65589758652,739500032,137.50654088436838,0.4849284887313843,66.68083906173706
2,628411785.8461539,2,64832039462,739405824,133.2132455851145,0.4942723512649536,65.84362411499023
3,629342720.0,3,63721090971,739573760,122.53426380909907,0.5284548997879028,64.7538321018219
4,628440697.9047619,4,62841787566,739475456,126.2810114182107,0.5091514587402344,64.29616117477417
5,623873354.8307692,5,64500240335,739528704,122.42197582131388,0.5352679491043091,65.528559923172
6,618349454.2222222,6,62227896513,739487744,109.50303232950564,0.5775636434555054,63.24497032165527
7,627801396.8253968,7,62760106206,739471360,131.3041365034681,0.4887648820877075,64.17685079574585
8,631984518.0952381,8,63079029888,739540992,122.39807364104405,0.5272945165634155,64.53983306884766
9,620325504.0,9,63399071960,739467264,122.02784877756544,0.527908444404602,64.41953182220459
