,avg_memory_usage,avg_per_usage,kernel_cpu_usage,max_memory_usage,memory_cache,time_recorded,total_cpu_usage,user_cpu_usage
0,50438144,202183063.0,520000000,51372032,389120,2018-10-08T22:15:32.251721037Z,606542615,60000000
1,54505472,509585959.6666667,1290000000,54546432,389120,2018-10-08T22:15:33.253820885Z,1528757879,130000000
2,57860096,823424819.3333334,2010000000,58171392,389120,2018-10-08T22:15:34.257248134Z,2470274458,200000000
3,58626048,1136907436.0,2780000000,58626048,389120,2018-10-08T22:15:35.2594938Z,3410722308,250000000
